image,interpolation,MSE,PSNR_dB,SSIM_global,reprojection_max_px,warp_ms,resize_shape,rotate_shape
document_01.png,Nearest,181.36351013183594,25.545304482789213,0.9745237484263576,9.868719204461293e-14,1.7510999459773302,"(350, 450, 3)","(1057, 1130, 3)"
document_01.png,Linear,145.87107849121094,26.491111669645782,0.9788817767933865,9.868719204461293e-14,2.009300049394369,"(350, 450, 3)","(1057, 1130, 3)"
document_01.png,Cubic,88.76110076904297,28.648576813800794,0.9874298965144578,9.868719204461293e-14,5.0833000568673015,"(350, 450, 3)","(1057, 1130, 3)"
document_01.png,Lanczos4,83.09197235107422,28.93521292944657,0.9881773350674874,9.868719204461293e-14,15.249299933202565,"(350, 450, 3)","(1057, 1130, 3)"
document_02.png,Nearest,166.92431640625,25.905607544952723,0.9765692984494745,1.3501001803074147e-13,1.6610999591648579,"(350, 450, 3)","(1057, 1130, 3)"
document_02.png,Linear,134.7041015625,26.836995412485493,0.9805517600077128,1.3501001803074147e-13,1.8452999647706747,"(350, 450, 3)","(1057, 1130, 3)"
document_02.png,Cubic,78.38695526123047,29.188365651404915,0.988930263043315,1.3501001803074147e-13,5.887800012715161,"(350, 450, 3)","(1057, 1130, 3)"
document_02.png,Lanczos4,70.33228302001953,29.6592564581617,0.9900343735900494,1.3501001803074147e-13,14.947300078347325,"(350, 450, 3)","(1057, 1130, 3)"
document_03.png,Nearest,167.8114471435547,25.882587782625105,0.9764486845855439,5.206967669535434e-14,1.8705000402405858,"(350, 450, 3)","(1057, 1130, 3)"
document_03.png,Linear,136.40521240234375,26.78249394694639,0.9802971206041342,5.206967669535434e-14,2.2040000185370445,"(350, 450, 3)","(1057, 1130, 3)"
document_03.png,Cubic,80.54830169677734,29.070239728040907,0.9886170971517222,5.206967669535434e-14,4.591700038872659,"(350, 450, 3)","(1057, 1130, 3)"
document_03.png,Lanczos4,73.79460144042969,29.450557693753524,0.989530692716702,5.206967669535434e-14,12.489099986851215,"(350, 450, 3)","(1057, 1130, 3)"
document_04.png,Nearest,365.06109619140625,22.507148073200884,0.9447488367758151,2.5826622402649012e-14,1.6110999276861548,"(350, 450, 3)","(1057, 1130, 3)"
document_04.png,Linear,342.4619140625,22.78468081191914,0.9473136713072671,2.5826622402649012e-14,1.969299977645278,"(350, 450, 3)","(1057, 1130, 3)"
document_04.png,Cubic,289.9696960449219,23.50727747548776,0.9562187863888241,2.5826622402649012e-14,5.280899931676686,"(350, 450, 3)","(1057, 1130, 3)"
document_04.png,Lanczos4,292.1464538574219,23.47479741758508,0.9557355361565743,2.5826622402649012e-14,12.595499982126057,"(350, 450, 3)","(1057, 1130, 3)"
document_05.png,Nearest,1740.6658935546875,15.723649409913065,0.9285035579625449,6.71150824802999e-14,1.6153000760823488,"(350, 450, 3)","(1057, 1130, 3)"
document_05.png,Linear,1749.5277099609375,15.701595354049008,0.9259518502725499,6.71150824802999e-14,2.419999917037785,"(350, 450, 3)","(1057, 1130, 3)"
document_05.png,Cubic,1669.897216796875,15.903906199907912,0.9402942585326308,6.71150824802999e-14,3.8366999942809343,"(350, 450, 3)","(1057, 1130, 3)"
document_05.png,Lanczos4,1669.4827880859375,15.90498414912581,0.940224913396185,6.71150824802999e-14,13.458600034937263,"(350, 450, 3)","(1057, 1130, 3)"
document_06.png,Nearest,180.3970489501953,25.568509320695746,0.9746657010177162,3.029204288123623e-14,1.2906999327242374,"(350, 450, 3)","(1057, 1130, 3)"
document_06.png,Linear,145.9108123779297,26.48992885409806,0.9788754974701023,3.029204288123623e-14,2.3478000657632947,"(350, 450, 3)","(1057, 1130, 3)"
document_06.png,Cubic,88.5495834350586,28.658938383941145,0.9874609735940669,3.029204288123623e-14,4.624999943189323,"(350, 450, 3)","(1057, 1130, 3)"
document_06.png,Lanczos4,82.18465423583984,28.982896285209478,0.9883113111744928,3.029204288123623e-14,12.872899998910725,"(350, 450, 3)","(1057, 1130, 3)"
document_07.png,Nearest,161.55508422851562,26.047597308098563,0.9773236318756803,3.984276965426567e-14,1.6667000018060207,"(350, 450, 3)","(1057, 1130, 3)"
document_07.png,Linear,132.81271362304688,26.898407105945523,0.9808201790844311,3.984276965426567e-14,2.4468000046908855,"(350, 450, 3)","(1057, 1130, 3)"
document_07.png,Cubic,76.49725341796875,29.29434518483362,0.9892000612019719,3.984276965426567e-14,4.6310999896377325,"(350, 450, 3)","(1057, 1130, 3)"
document_07.png,Lanczos4,67.93683624267578,29.809750425661726,0.9903804291633855,3.984276965426567e-14,11.579200043343008,"(350, 450, 3)","(1057, 1130, 3)"
document_08.png,Nearest,358.57843017578125,22.584961992819522,0.945821524953243,4.340275087575361e-14,1.3917000032961369,"(350, 450, 3)","(1057, 1130, 3)"
document_08.png,Linear,335.3976745605469,22.87520313715982,0.9484994145696641,4.340275087575361e-14,2.3994999937713146,"(350, 450, 3)","(1057, 1130, 3)"
document_08.png,Cubic,283.5382385253906,23.60468723879862,0.9572588938128502,4.340275087575361e-14,5.130100063979626,"(350, 450, 3)","(1057, 1130, 3)"
document_08.png,Lanczos4,285.62176513671875,23.572890621103642,0.9567927427751887,4.340275087575361e-14,13.81620008032769,"(350, 450, 3)","(1057, 1130, 3)"
document_09.png,Nearest,1743.279052734375,15.71713449166727,0.92792314613136,8.435801021481129e-14,1.4944999711588025,"(350, 450, 3)","(1057, 1130, 3)"
document_09.png,Linear,1750.6663818359375,15.698769688291698,0.9257127558552461,8.435801021481129e-14,1.9611000316217542,"(350, 450, 3)","(1057, 1130, 3)"
document_09.png,Cubic,1670.837890625,15.90146045398382,0.940116313189311,8.435801021481129e-14,5.08629996329546,"(350, 450, 3)","(1057, 1130, 3)"
document_09.png,Lanczos4,1670.7078857421875,15.901798383834453,0.9399796417166778,8.435801021481129e-14,15.980300027877092,"(350, 450, 3)","(1057, 1130, 3)"
